,date,open,high,low,close,volume
2018,2023-10-10 10:15:00,176.16,176.27,176.1,176.27,625026
2019,2023-10-10 10:20:00,176.27,176.37,176.18,176.37,749952
2020,2023-10-10 10:25:00,176.37,176.51,176.35,176.36,508025
2021,2023-10-10 10:30:00,176.36,176.62,176.28,176.52,612465
2022,2023-10-10 10:35:00,176.54,176.66,176.53,176.58,433829
2023,2023-10-10 10:40:00,176.57,176.68,176.54,176.58,415190
2024,2023-10-10 10:45:00,176.58,176.59,176.36,176.47,698181
2025,2023-10-10 10:50:00,176.47,176.63,176.42,176.6,222538
2026,2023-10-10 10:55:00,176.43,176.54,176.39,176.48,413136
2027,2023-10-10 11:00:00,176.49,176.6,176.36,176.6,201237
2028,2023-10-10 11:05:00,176.59,176.9,176.56,176.68,504548
2029,2023-10-10 11:10:00,176.68,176.91,176.66,176.88,373001
2030,2023-10-10 11:15:00,176.88,177.04,176.88,177.01,520806
2031,2023-10-10 11:20:00,177.01,177.01,176.79,176.82,319712
2032,2023-10-10 11:25:00,176.83,176.83,176.7,176.76,225317
2033,2023-10-10 11:30:00,176.76,176.85,176.71,176.77,225817
2034,2023-10-10 11:35:00,176.75,176.79,176.58,176.7,368587
2035,2023-10-10 11:40:00,176.7,176.85,176.69,176.77,301067
2036,2023-10-10 11:45:00,176.78,176.78,176.6,176.71,398559
2037,2023-10-10 11:50:00,176.7,176.8,176.69,176.8,183660
2038,2023-10-10 11:55:00,176.79,176.91,176.77,176.83,160227
2039,2023-10-10 12:00:00,176.84,176.86,176.76,176.83,219911
2040,2023-10-10 12:05:00,176.83,176.86,176.77,176.82,229834
2041,2023-10-10 12:10:00,176.83,176.91,176.79,176.85,151628
2042,2023-10-10 12:15:00,176.85,176.89,176.79,176.88,151221
2043,2023-10-10 12:20:00,176.89,176.89,176.63,176.77,538969
2044,2023-10-10 12:25:00,176.77,176.81,176.73,176.8,86020
2045,2023-10-10 12:30:00,176.8,176.92,176.78,176.91,88125
2046,2023-10-10 12:35:00,176.9,176.91,176.74,176.8,170744
2047,2023-10-10 12:40:00,176.82,176.86,176.76,176.85,190044
2048,2023-10-10 12:45:00,176.84,176.89,176.79,176.8,122524
2049,2023-10-10 12:50:00,176.79,176.92,176.79,176.9,118030
2050,2023-10-10 12:55:00,176.89,176.9,176.77,176.88,85613
2051,2023-10-10 13:00:00,176.88,176.88,176.38,176.38,381696
2052,2023-10-10 13:05:00,176.37,176.51,176.24,176.36,898116
2053,2023-10-10 13:10:00,176.42,176.43,176.1,176.13,315975
2054,2023-10-10 13:15:00,176.13,176.3,176.01,176.28,319467
2055,2023-10-10 13:20:00,176.28,176.46,176.26,176.38,575773
2056,2023-10-10 13:25:00,176.38,176.45,176.28,176.45,201925
2057,2023-10-10 13:30:00,176.46,176.52,176.33,176.43,331031
2058,2023-10-10 13:35:00,176.43,176.55,176.42,176.54,176712
2059,2023-10-10 13:40:00,176.54,176.65,176.49,176.61,148494
2060,2023-10-10 13:45:00,176.61,176.71,176.55,176.7,149639
2061,2023-10-10 13:50:00,176.7,176.7,176.45,176.59,216225
2062,2023-10-10 13:55:00,176.59,176.66,176.58,176.63,114803
2063,2023-10-10 14:00:00,176.63,176.71,176.59,176.68,221826
2064,2023-10-10 14:05:00,176.66,176.66,176.55,176.56,159258
2065,2023-10-10 14:10:00,176.56,176.6,176.4,176.4,166847
2066,2023-10-10 14:15:00,176.4,176.49,176.31,176.48,304881
2067,2023-10-10 14:20:00,176.48,176.53,176.36,176.37,189258
2068,2023-10-10 14:25:00,176.37,176.51,176.22,176.34,389364
2069,2023-10-10 14:30:00,176.34,176.52,176.31,176.49,240392
2070,2023-10-10 14:35:00,176.49,176.57,176.33,176.44,295418
2071,2023-10-10 14:40:00,176.44,176.6,176.39,176.6,223947
2072,2023-10-10 14:45:00,176.6,176.8,176.6,176.63,347540
2073,2023-10-10 14:50:00,176.63,176.65,176.4,176.46,288439
2074,2023-10-10 14:55:00,176.45,176.49,176.36,176.49,270351
2075,2023-10-10 15:00:00,176.48,176.58,176.43,176.56,317195
2076,2023-10-10 15:05:00,176.56,176.56,176.44,176.55,134287
2077,2023-10-10 15:10:00,176.55,176.55,176.38,176.4,171512
